USER,DATE,STAR,LIKE,TITLE,REVIEW
kobebiggestfan38e,2021-08-11 16:13:33-07:00,3,0,Netflix,Hi Netflix I am mad because you don’t have my hero academia and boruto so  can you please add those thank you have a nice day
chentiyo10,2021-08-11 16:12:34-07:00,3,0,Ideas para Netflix,"Me gustaría que en los catálogos de Estados Unidos De America introduzca mas el idioma de español y que actualizaran mas las serie, películas y de mas para un mayor entretenimiento o que usen nuevos estrenos porque la gente se fastidia de lo mismo siempre"
Zackster2097,2021-08-11 14:20:37-07:00,1,0,After the update ….,"Last night I was watching greys anatomy like every night, but then this morning Netflix whole interface changed and now I can’t find anything. Not even my watch list is correct. Plus you have to scroll down past things to watch to find your watch list. Not a good thing for me. Netflix is going to lose my sub if I can’t watch greys."
Pretty_Softie,2021-08-11 13:24:47-07:00,5,0,ABSOLUTELY LOVE,"First off, I love Netflix. It has All the Shows I want and it has so many cool features to make it even better! I watch tons of shows on the kids section, And all the shows are perfect for what I want. I love watching movies with my family and having such a nice time. Thank you Netflix!! Bye!"
meandurhotmommy,2021-08-11 12:42:47-07:00,4,0,Anne with an e,"I loved Netflix but no I can’t say I still do. Netflix has discontinued on of my favorite shows and I will NOT stand for it. I’m playing but I’m really sad that Anne with an e isn’t getting a season 4 
Besides that I love love loveee Netflix."
Li45&21,2021-08-11 10:41:02-07:00,3,0,L,You should show again games of thrones it was a very good serie!!!!
BTS/army:),2021-08-11 09:37:40-07:00,1,0,…,Cant even get in my account
ramdommmmmmmm,2021-08-11 07:12:34-07:00,1,0,This app has nothin for crap!,THIS APP IS SO BAD THE KIDS SECTION HAS LIKE 4- STUFF BRUH THEY SHOULD AT LEAST ADD A PRE TEEN AND A TEEN IM A PRE TEEN AND THIS APP IS A PEICE OF CRAP- (I am sorry for my language oof)
Rytta_b,2021-08-11 05:05:45-07:00,1,0,App doesn’t work on iphone!,Netflix app is refusing to cast from my iPhone to my chromecast. YouTube and other apps work fine. But Netflix app doesn't. It is useless to find a solution since their help center is limited. I tried to find a solution online but no luck. Fix the problem!
Lily lazuli,2021-08-11 00:56:08-07:00,2,0,Current watching and shows missing,"When opening app, sometimes “continue watching” is completely missing and searching for the show, Grey’s Anatomy, that I was watching brings up nothing. This happens on the app while the website says there are no seasons."
Raygar49,2021-08-10 22:37:06-07:00,3,0,COULD BE BETTER,I believe that Netflix is good but they charge $15 dollars for their services yet an anime app that I know has included a way to put comments and opinions on the anime show they watch weather it’s good or bad and give it a rating or even say cool didn’t like and could comment to other people’s comments I feel like Netflix added something like that they could get opinions from people to see what they would like to watch and also I love the fact that the have good anime only reason I still have them would like to see more and hopefully they keep it up so far I’ve loved all anime.
nyxaz,2021-08-10 22:26:10-07:00,2,0,Concern with iOS app,For some reason the series/movies I watched on TV is not showing on my iPad Pro(when you want to continue watching). Software and Netflix app are up to date.
girlgamedrated1,2021-08-10 21:03:58-07:00,3,0,I waited months for a movie,I have been waiting for months to watch kissing booth 3 and it’s 12:02 am in my state and I want to watch the movie and it still says  play trailer. I have stayed up all night to watch it
malena_the_bee,2021-08-10 20:52:22-07:00,5,0,hay,"So I have a complaint, about how google says that certain shows have added a season , but it dossent show for me, it’s seems like it shows for others, 

I don’t think it’s fair that’s all 👍"
kissmya$$650,2021-08-10 20:07:51-07:00,4,0,Great app,Netflix is a great app although it could have better movies for example I’m listed that they took away clueless and many more.
AriPGaming,2021-08-10 19:27:11-07:00,2,0,Can’t Sign In,"Every single time I touch sign in and then begin typing in my information it brings me back to the main screen. I click sign in again and it does it again and again.

Please fix this, or I am done subscribing because right now my phone is my only way to access Netflix.

Thank you xoxo"
&-$;,2021-08-10 19:00:07-07:00,1,0,Why,Why they get rid of Mac and devin got to highschool
